Period	Day	Date	Plot	Band	Color Combo	Age	Sex	Seen	Location	Observer	Notes
1	1	1-Feb-17	MI	2520-76777	"P,B/A"	ASY	F				
1	2	2-Feb-17	MI	2520-76777	"P,B/A"	ASY	F				
1	3	3-Feb-17	MI	2520-76777	"P,B/A"	ASY	F				
1	4	4-Feb-17	MI	2520-76777	"P,B/A"	ASY	F				
1	5	5-Feb-17	MI	2520-76777	"P,B/A"	ASY	F				
2	1	15-Feb-17	MI	2520-76777	"P,B/A"	ASY	F		0	JPS	"CHECK COLOR P,B/A OR P,A/B"
2	2	16-Feb-17	MI	2520-76777	"P,B/A"	ASY	F	0*	G.5-3.7	KCO	"P,B/A CONFIRMED!"
2	3	17-Feb-17	MI	2520-76777	"P,B/A"	ASY	F	0		JPS	
2	4	18-Feb-17	MI	2520-76777	"P,B/A"	ASY	F	1	G.2-3.4	KCO	
2	5	19-Feb-17	MI	2520-76777	"P,B/A"	ASY	F	0		JPS	"P,B/A CONFIRMED!"
3	1	1-Mar-17	MI	2520-76777	"P,B/A"	ASY	F	0		JPS	
3	2	2-Mar-17	MI	2520-76777	"P,B/A"	ASY	F	0		LFD	
3	3	3-Mar-17	MI	2520-76777	"P,B/A"	ASY	F	0		JPS	
3	4	4-Mar-17	MI	2520-76777	"P,B/A"	ASY	F	0		JPS	
3	5	5-Mar-17	MI	2520-76777	"P,B/A"	ASY	F	0		AJS	
4	1	15-Mar-17	MI	2520-76777	"P,B/A"	ASY	F	0		AJS	
4	2	16-Mar-17	MI	2520-76777	"P,B/A"	ASY	F	1	G-4	AJS	
4	3	17-Mar-17	MI	2520-76777	"P,B/A"	ASY	F	1	G.5-3.5	AJS	
4	4	18-Mar-17	MI	2520-76777	"P,B/A"	ASY	F	0		LFD	
4	5	19-Mar-17	MI	2520-76777	"P,B/A"	ASY	F	0		JPS	
5	1	1-Apr-17	MI	2520-76777	"P,B/A"	ASY	F	0		AJS	
5	2	2-Apr-17	MI	2520-76777	"P,B/A"	ASY	F	0		JPS	
5	3	3-Apr-17	MI	2520-76777	"P,B/A"	ASY	F	0		JPS	
5	4	4-Apr-17	MI	2520-76777	"P,B/A"	ASY	F	0		JPS	
5	5	5-Apr-17	MI	2520-76777	"P,B/A"	ASY	F	0		KCO	
6	1	15-Apr-17	MI	2520-76777	"P,B/A"	ASY	F	0			
6	2	16-Apr-17	MI	2520-76777	"P,B/A"	ASY	F	0*	H-3.4	KCO	
6	3	17-Apr-17	MI	2520-76777	"P,B/A"	ASY	F	0		KCO	
6	4	18-Apr-17	MI	2520-76777	"P,B/A"	ASY	F	1	G.3-3.5	KCO	
6	5	19-Apr-17	MI	2520-76777	"P,B/A"	ASY	F	1	G.5-4	KCO	
1	1	1-Feb-17	LII	2530-12052	"B/R,A"	ASY	F	1	I-10.5	LFD	
1	2	2-Feb-17	LII	2530-12052	"B/R,A"	ASY	F	0		AJS	
1	3	3-Feb-17	LII	2530-12052	"B/R,A"	ASY	F	0		LFD	
1	4	4-Feb-17	LII	2530-12052	"B/R,A"	ASY	F	0		LFD	
1	5	5-Feb-17	LII	2530-12052	"B/R,A"	ASY	F	1	H.5-10.3	KCO	
2	1	15-Feb-17	LII	2530-12052	"B/R,A"	ASY	F	1	H.5-10.5		
2	2	16-Feb-17	LII	2530-12052	"B/R,A"	ASY	F	0		AJS	
2	3	17-Feb-17	LII	2530-12052	"B/R,A"	ASY	F	0		LFD	
2	4	18-Feb-17	LII	2530-12052	"B/R,A"	ASY	F	0		AJS	
2	5	19-Feb-17	LII	2530-12052	"B/R,A"	ASY	F	0*	J.2-10.2	KCO	
3	1	1-Mar-17	LII	2530-12052	"B/R,A"	ASY	F	1	H.5-11	AJS	
3	2	2-Mar-17	LII	2530-12052	"B/R,A"	ASY	F	0		KCO	
3	3	3-Mar-17	LII	2530-12052	"B/R,A"	ASY	F	1	I-10.3	AJS	
3	4	4-Mar-17	LII	2530-12052	"B/R,A"	ASY	F	0		LFD	
3	5	5-Mar-17	LII	2530-12052	"B/R,A"	ASY	F	1	H.8-10.1	JPS	
4	1	15-Mar-17	LII	2530-12052	"B/R,A"	ASY	F	1		JPS	
4	2	16-Mar-17	LII	2530-12052	"B/R,A"	ASY	F	0		LFD	
4	3	17-Mar-17	LII	2530-12052	"B/R,A"	ASY	F	0		KCO	
4	4	18-Mar-17	LII	2530-12052	"B/R,A"	ASY	F	0		AJS	
4	5	19-Mar-17	LII	2530-12052	"B/R,A"	ASY	F	0		AJS	
5	1	1-Apr-17	LII	2530-12052	"B/R,A"	ASY	F	0		JPS	
5	2	2-Apr-17	LII	2530-12052	"B/R,A"	ASY	F	0		AJS	
5	3	3-Apr-17	LII	2530-12052	"B/R,A"	ASY	F	0		AJS	
5	4	4-Apr-17	LII	2530-12052	"B/R,A"	ASY	F	0		BCD	
5	5	5-Apr-17	LII	2530-12052	"B/R,A"	ASY	F	0			
6	1	15-Apr-17	LII	2530-12052	"B/R,A"	ASY	F	0		LFD	
6	2	16-Apr-17	LII	2530-12052	"B/R,A"	ASY	F	0		LFD	
6	3	17-Apr-17	LII	2530-12052	"B/R,A"	ASY	F	0		LFD	
6	4	18-Apr-17	LII	2530-12052	"B/R,A"	ASY	F	0		LFD	
6	5	19-Apr-17	LII	2530-12052	"B/R,A"	ASY	F	0		LFD	
